GEOID,year,species,head_count,mean_density,cell_count
01089,2015,5_Bf_2015_Da,,,0
04005,2015,5_Bf_2015_Da,,,0
04027,2015,5_Bf_2015_Da,,,0
04012,2015,5_Bf_2015_Da,,,0
04001,2015,5_Bf_2015_Da,,,0
05139,2015,5_Bf_2015_Da,,,0
05017,2015,5_Bf_2015_Da,,,0
05107,2015,5_Bf_2015_Da,,,0
05041,2015,5_Bf_2015_Da,,,0
05131,2015,5_Bf_2015_Da,,,0
05007,2015,5_Bf_2015_Da,,,0
05015,2015,5_Bf_2015_Da,,,0
05121,2015,5_Bf_2015_Da,,,0
05021,2015,5_Bf_2015_Da,,,0
06073,2015,5_Bf_2015_Da,,,0
06065,2015,5_Bf_2015_Da,,,0
06041,2015,5_Bf_2015_Da,,,0
06081,2015,5_Bf_2015_Da,,,0
06017,2015,5_Bf_2015_Da,,,0
08077,2015,5_Bf_2015_Da,,,0
08123,2015,5_Bf_2015_Da,,,0
08069,2015,5_Bf_2015_Da,,,0
08107,2015,5_Bf_2015_Da,,,0
36025,2015,5_Bf_2015_Da,,,0
37031,2015,5_Bf_2015_Da,,,0
37165,2015,5_Bf_2015_Da,,,0
37019,2015,5_Bf_2015_Da,,,0
37129,2015,5_Bf_2015_Da,,,0
37119,2015,5_Bf_2015_Da,,,0
37137,2015,5_Bf_2015_Da,,,0
37013,2015,5_Bf_2015_Da,,,0
37089,2015,5_Bf_2015_Da,,,0
37113,2015,5_Bf_2015_Da,,,0
37139,2015,5_Bf_2015_Da,,,0
37007,2015,5_Bf_2015_Da,,,0
38017,2015,5_Bf_2015_Da,,,0
38099,2015,5_Bf_2015_Da,,,0
38053,2015,5_Bf_2015_Da,,,0
39167,2015,5_Bf_2015_Da,,,0
39009,2015,5_Bf_2015_Da,,,0
40089,2015,5_Bf_2015_Da,,,0
41007,2015,5_Bf_2015_Da,,,0
41039,2015,5_Bf_2015_Da,,,0
41051,2015,5_Bf_2015_Da,,,0
41035,2015,5_Bf_2015_Da,,,0
41055,2015,5_Bf_2015_Da,,,0
41021,2015,5_Bf_2015_Da,,,0
42055,2015,5_Bf_2015_Da,,,0
42017,2015,5_Bf_2015_Da,,,0
42123,2015,5_Bf_2015_Da,,,0
42103,2015,5_Bf_2015_Da,,,0
42029,2015,5_Bf_2015_Da,,,0
44007,2015,5_Bf_2015_Da,,,0
45013,2015,5_Bf_2015_Da,,,0
45007,2015,5_Bf_2015_Da,,,0
45069,2015,5_Bf_2015_Da,,,0
45043,2015,5_Bf_2015_Da,,,0
47019,2015,5_Bf_2015_Da,,,0
47073,2015,5_Bf_2015_Da,,,0
47025,2015,5_Bf_2015_Da,,,0
47055,2015,5_Bf_2015_Da,,,0
47123,2015,5_Bf_2015_Da,,,0
47009,2015,5_Bf_2015_Da,,,0
48071,2015,5_Bf_2015_Da,,,0
48167,2015,5_Bf_2015_Da,,,0
48003,2015,5_Bf_2015_Da,,,0
48037,2015,5_Bf_2015_Da,,,0
48205,2015,5_Bf_2015_Da,,,0
48043,2015,5_Bf_2015_Da,,,0
49037,2015,5_Bf_2015_Da,,,0
49047,2015,5_Bf_2015_Da,,,0
49033,2015,5_Bf_2015_Da,,,0
51051,2015,5_Bf_2015_Da,,,0
51191,2015,5_Bf_2015_Da,,,0
04013,2015,5_Bf_2015_Da,,,0
04007,2015,5_Bf_2015_Da,,,0
04021,2015,5_Bf_2015_Da,,,0
16029,2015,5_Bf_2015_Da,,,0
